Date,Accts Payable,Rate of Change (%)
2021-04-12,11753.472527472528,0.13415932285585352
2021-04-13,11769.21978021978,0.1339795767629104
2021-04-14,11784.967032967033,0.13380031167162798
2021-04-15,11800.714285714286,0.13362152565383756
2021-04-16,11816.461538461539,0.13344321679167326
2021-04-17,11832.208791208792,0.13326538317750547
2021-04-18,11847.956043956045,0.1330880229138076
2021-04-19,11863.703296703297,0.13291113411317834
2021-04-20,11879.45054945055,0.13273471489825273
2021-04-21,11895.197802197803,0.13255876340156902
2021-04-22,11910.945054945056,0.1323832777656131
2021-04-23,11926.692307692309,0.13220825614266296
2021-04-24,11942.439560439561,0.1320336966947444
2021-04-25,11958.186813186812,0.13185959759356436
2021-04-26,11973.934065934065,0.1316859570205775
2021-04-27,11989.681318681318,0.13151277316663101
2021-04-28,12005.42857142857,0.1313400442321644
2021-04-29,12021.175824175823,0.13116776842709843
2021-04-30,12036.923076923076,0.1309959439706576
2021-05-01,12052.670329670329,0.1308245690914367
2021-05-02,12068.417582417582,0.13065364202724528
2021-05-03,12084.164835164835,0.13048316102515223
2021-05-04,12099.912087912087,0.13031312434126363
2021-05-05,12115.65934065934,0.1301435302408782
2021-05-06,12131.406593406593,0.1299743769982653
2021-05-07,12147.153846153846,0.12980566289659823
2021-05-08,12162.901098901099,0.1296373862280431
2021-05-09,12178.648351648351,0.12946954529355903
2021-05-10,12194.395604395604,0.12930213840292026
2021-05-11,12210.142857142857,0.12913516387460522
2021-05-12,12225.89010989011,0.12896862003577425
2021-05-13,12241.637362637362,0.12880250522220305
2021-05-14,12257.384615384615,0.12863681777828262
2021-05-15,12273.131868131868,0.12847155605681948
2021-05-16,12288.87912087912,0.12830671841912444
2021-05-17,12304.626373626374,0.12814230323494602
2021-05-18,12320.373626373626,0.12797830888229278
2021-05-19,12336.12087912088,0.12781473374754437
2021-05-20,12351.868131868132,0.1276515762252739
2021-05-21,12367.615384615385,0.1274888347182479
2021-05-22,12383.362637362638,0.12732650763735975
2021-05-23,12399.10989010989,0.12716459340162967
2021-05-24,12414.857142857143,0.12700309043807145
2021-05-25,12430.604395604396,0.12684199718169253
2021-05-26,12446.351648351649,0.1266813120753829
2021-05-27,12462.098901098901,0.126521033570004
2021-05-28,12477.846153846154,0.12636116012418874
2021-05-29,12493.593406593407,0.1262016902043639
2021-05-30,12509.34065934066,0.12604262228466112
2021-05-31,12525.087912087913,0.12588395484691706
2021-06-01,12540.835164835165,0.12572568638065107
2021-06-02,12556.582417582418,0.12556781538288764
2021-06-03,12572.329670329671,0.12541034035824516
2021-06-04,12588.076923076924,0.12525325981878055
2021-06-05,12603.824175824177,0.125096572284078
2021-06-06,12619.57142857143,0.1249402762810492
2021-06-07,12635.31868131868,0.12478437034397771
2021-06-08,12651.065934065933,0.12462885301449678
2021-06-09,12666.813186813186,0.12447372284141167
2021-06-10,12682.560439560439,0.12431897838081074
2021-06-11,12698.307692307691,0.12416461819597657
2021-06-12,12714.054945054944,0.12401064085723057
2021-06-13,12729.802197802197,0.12385704494204397
2021-06-14,12745.54945054945,0.12370382903492683
2021-06-15,12761.296703296703,0.12355099172733919
2021-06-16,12777.043956043955,0.12339853161775771
2021-06-17,12792.791208791208,0.12324644731149803
2021-06-18,12808.538461538461,0.12309473742080357
2021-06-19,12824.285714285714,0.12294340056469011
2021-06-20,12840.032967032967,0.12279243536901241
2021-06-21,12855.78021978022,0.12264184046633098
2021-06-22,12871.527472527472,0.12249161449588986
2021-06-23,12887.274725274725,0.12234175610363884
2021-06-24,12903.021978021978,0.12219226394212246
2021-06-25,12918.76923076923,0.12204313667043554
2021-06-26,12934.516483516483,0.12189437295424543
2021-06-27,12950.263736263736,0.12174597146572541
2021-06-28,12966.010989010989,0.12159793088348803
2021-06-29,12981.758241758242,0.12145024989258513
2021-06-30,12997.505494505494,0.12130292718437463
2021-07-01,13013.252747252747,0.12115596145667595
2021-07-02,13029.0,0.12100935141352576
2021-07-03,13035.34065934066,0.048665740583775374
2021-07-04,13041.681318681318,0.048642068560855733
2021-07-05,13048.021978021978,0.048618419555901404
2021-07-06,13054.362637362638,0.048594793535294833
2021-07-07,13060.703296703297,0.0485711904655739
2021-07-08,13067.043956043955,0.04854761031327648
2021-07-09,13073.384615384615,0.04852405304511809
2021-07-10,13079.725274725275,0.04850051862772542
2021-07-11,13086.065934065935,0.04847700702790281
2021-07-12,13092.406593406593,0.04845351821247679
2021-07-13,13098.747252747253,0.04843005214834051
2021-07-14,13105.087912087913,0.04840660880245373
2021-07-15,13111.42857142857,0.04838318814184284
2021-07-16,13117.76923076923,0.04835979013360081
2021-07-17,13124.10989010989,0.04833641474486505
2021-07-18,13130.45054945055,0.048313061942883984
2021-07-19,13136.791208791208,0.04828973169488382
2021-07-20,13143.131868131868,0.04826642396824621
2021-07-21,13149.472527472528,0.048243138730375
2021-07-22,13155.813186813186,0.04821987594871846
2021-07-23,13162.153846153846,0.04819663559083587
2021-07-24,13168.494505494506,0.04817341762428651
2021-07-25,13174.835164835165,0.04815022201676289
2021-07-26,13181.175824175823,0.04812704873593532
2021-07-27,13187.516483516483,0.04810389774962953
2021-07-28,13193.857142857143,0.04808076902564906
2021-07-29,13200.197802197803,0.04805766253193067
2021-07-30,13206.538461538461,0.04803457823641111
2021-07-31,13212.87912087912,0.04801151610716037
2021-08-01,13219.21978021978,0.04798847611222623
2021-08-02,13225.560439560439,0.047965458219745294
2021-08-03,13231.901098901099,0.047942462397987384
2021-08-04,13238.241758241758,0.04791948861517792
2021-08-05,13244.582417582418,0.047896536839653336
2021-08-06,13250.923076923076,0.04787360703981669
2021-08-07,13257.263736263736,0.047850699184137646
2021-08-08,13263.604395604396,0.04782781324108587
2021-08-09,13269.945054945056,0.04780494917928646
2021-08-10,13276.285714285714,0.047782106967320104
2021-08-11,13282.626373626374,0.04775928657392292
2021-08-12,13288.967032967033,0.047736487967853236
