Date,Shares Outstanding,Rate of Change (%)
2020-12-25,4301.690721649485,0.0011982965016921199
2020-12-26,4301.742268041237,0.0011982821427336532
2020-12-27,4301.79381443299,0.001198267784086049
2020-12-28,4301.845360824742,0.001198253425793716
2020-12-29,4301.896907216495,0.001198239067878859
2020-12-30,4301.948453608247,0.0011982247102748644
2020-12-31,4302.0,0.0011982103530261412
2021-01-01,4302.097826086957,0.0022739676187155666
2021-01-02,4302.195652173913,0.0022739159105888973
2021-01-03,4302.29347826087,0.0022738642048381053
2021-01-04,4302.391304347826,0.0022738125014187816
2021-01-05,4302.489130434783,0.002273760800375335
2021-01-06,4302.586956521739,0.0022737091016411526
2021-01-07,4302.684782608696,0.0022736574053050518
2021-01-08,4302.782608695652,0.002273605711278215
2021-01-09,4302.880434782609,0.0022735540196494597
2021-01-10,4302.978260869565,0.0022735023303299684
2021-01-11,4303.076086956522,0.0022734506433863544
2021-01-12,4303.173913043478,0.0022733989587742087
2021-01-13,4303.271739130435,0.0022733472765379403
2021-01-14,4303.369565217391,0.002273295596610936
2021-01-15,4303.467391304348,0.002273243919082013
2021-01-16,4303.565217391304,0.002273192243862354
2021-01-17,4303.663043478261,0.0022731405710185726
2021-01-18,4303.760869565217,0.0022730889005062593
2021-01-19,4303.858695652174,0.0022730372323698234
2021-01-20,4303.95652173913,0.002272985566520447
2021-01-21,4304.054347826087,0.0022729339030913565
2021-01-22,4304.152173913043,0.0022728822419493255
2021-01-23,4304.25,0.002272830583227581
2021-01-24,4304.347826086957,0.0022727789267928955
2021-01-25,4304.445652173913,0.002272727272711883
2021-01-26,4304.54347826087,0.0022726756210289523
2021-01-27,4304.641304347826,0.002272623971633081
2021-01-28,4304.739130434783,0.0022725723246352914
2021-01-29,4304.836956521739,0.002272520679924561
2021-01-30,4304.934782608696,0.0022724690376119128
2021-01-31,4305.032608695652,0.0022724173976085282
2021-02-01,4305.130434782609,0.0022723657600032254
2021-02-02,4305.228260869565,0.002272314124684982
2021-02-03,4305.326086956522,0.0022722624917648204
2021-02-04,4305.423913043478,0.0022722108611539227
2021-02-05,4305.521739130435,0.002272159232918902
2021-02-06,4305.619565217391,0.00227210760701535
2021-02-07,4305.717391304348,0.0022720559834654708
2021-02-08,4305.815217391304,0.00227200436224706
2021-02-09,4305.913043478261,0.0022719527433823217
2021-02-10,4306.010869565217,0.002271901126849052
2021-02-11,4306.108695652174,0.0022718495126916594
2021-02-12,4306.20652173913,0.0022717979008435307
2021-02-13,4306.304347826087,0.002271746291393484
2021-02-14,4306.402173913043,0.0022716946842304964
2021-02-15,4306.5,0.002271643079443386
2021-02-16,4306.597826086957,0.002271591477009949
2021-02-17,4306.695652173913,0.002271539876863571
2021-02-18,4306.79347826087,0.002271488279137479
2021-02-19,4306.891304347826,0.0022714366836984468
2021-02-20,4306.989130434783,0.0022713850906352917
2021-02-21,4307.086956521739,0.0022713334998814005
2021-02-22,4307.184782608696,0.002271281911525591
